"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_CASH","ZYDUSLIFE","0","0","61.75","0","379","935.7642","379","935.9272","0","0"
"NSE_CASH","ZYDUSLIFE","6","1007.35","0","356.1","6","948","0","0","6","5688"
"NSE_CASH","GRASIM","0","0","52.6","0","3","2162.1333","3","2179.6667","0","0"
"NSE_CASH","ICICIBANK","0","0","1797.9","0","12","876.2708","12","1026.0958","0","0"
"NSE_CASH","PGHH","0","0","-80.7","0","1","16779.7","1","16699","0","0"
"NSE_CASH","PGHH","-2","16928.4","0","-266.8","0","0","2","16795","-2","-33590"
"NSE_CASH","TATACONSUM","0","0","199.25","0","10","1130","10","1149.925","0","0"
"NSE_CASH","GTLINFRA","0","0","-845","0","2000","2.2225","2000","1.8","0","0"
"NSE_CASH","ORBTEXP","0","0","-258.15","0","116","189.0711","116","186.8457","0","0"
"NSE_CASH","ORBTEXP","41","141.25","0","-1687.4493","41","182.4073","0","0","41","7478.699299999999"
"NSE_CASH","GARFIBRES","0","0","140.25","0","8","3291.1375","8","3308.6688","0","0"
"NSE_CASH","GARFIBRES","6","3325.15","0","-138.1002","6","3348.1667","0","0","6","20089.000200000002"
"NSE_CASH","DWARKESH","0","0","-2391.5","0","2580","82.0297","2580","81.1028","0","0"
"NSE_CASH","DWARKESH","200","69.5","0","-2132.5","200","80.1625","0","0","200","16032.499999999998"
"NSE_CASH","BHARTIARTL","0","0","51.95","0","28","1232.4929","28","1234.3482","0","0"
"NSE_CASH","BHARTIARTL","-4","1228.6","0","-362.4","0","0","4","1138","-4","-4552"
"NSE_CASH","KSCL","0","0","350.55","0","220","664.4441","220","666.0375","0","0"
"NSE_CASH","KSCL","9","623.35","0","-340.8498","9","661.2222","0","0","9","5950.9998000000005"
"NSE_CASH","HCC","0","0","-19.65","0","9","34.75","9","32.5667","0","0"
"NSE_CASH","HCC","1","31.6","0","-3.15","1","34.75","0","0","1","34.75"
"NSE_CASH","HCC-RE","0","0","0.3","0","1","9.15","1","9.45","0","0"
"NSE_CASH","HCC-RE","103","9.35","0","1.648","103","9.334","0","0","103","961.4019999999999"
"NSE_CASH","SOUTHBANK","0","0","-5266.25","0","5362","33.428","5362","32.4458","0","0"
"NSE_CASH","SOUTHBANK","1","27.25","0","-9.8","1","37.05","0","0","1","37.05"
"NSE_CASH","TIPSINDLTD","0","0","-200.5","0","10","506","10","485.95","0","0"
"NSE_CASH","BAJAJ-AUTO","0","0","-1627.05","0","29","8704.2069","29","8648.1017","0","0"
"NSE_CASH","GRASIMPP","-1","1024.9","0","-256.8","0","0","1","768.1","-1","-768.1"
"NSE_CASH","AIRTELPP","-2","821.85","0","-161.7","0","0","2","741","-2","-1482"
"NSE_CASH","BANKBARODA","325","264.05","0","46993.765","325","119.4538","0","0","325","38822.485"
"NSE_CASH","REALECO","-900","32.65","0","8235","0","0","900","41.8","-900","-37620"
"NSE_CASH","LACTOSE","-100","139.5","0","50","0","0","100","140","-100","-14000"
"NSE_CASH","TPHQ","300","1.3","0","0","300","1.3","0","0","300","390"
"NSE_CASH","TATASTEEL","460","155.85","0","9982","460","134.15","0","0","460","61709"
"NSE_CASH","IDFCFIRSTB","450","75.4","0","14089.185","450","44.0907","0","0","450","19840.815"
"NSE_CASH","NBCC","1500","118.9","0","119190","1500","39.44","0","0","1500","59160"
"NSE_CASH","NURECA","100","255.3","0","-75969.4","100","1014.994","0","0","100","101499.40000000001"
"NSE_CASH","SAIL","1500","134.25","0","69820.05","1500","87.7033","0","0","1500","131554.95"
"NSE_CASH","MMTC","1200","66.45","0","26265","1200","44.5625","0","0","1200","53475"
"NSE_CASH","PNB","2685","124.4","0","203701.5525","2685","48.5335","0","0","2685","130312.4475"
"NSE_CASH","BINNYMILLS","-42","208.05","0","921.9","0","0","42","230","-42","-9660"
"NSE_CASH","NOCIL","-30","250.1","0","657","0","0","30","272","-30","-8160"
"NSE_CASH","MNIL","-100","17.79","0","-581.5","0","0","100","11.975","-100","-1197.5"
"NSE_CASH","KOTAKBANK","50","1785.5","0","725","50","1771","0","0","50","88550"
"NSE_CASH","BHEL","3215","247.3","0","602842.3995","3215","59.7907","0","0","3215","192227.1005"
"NSE_CASH","RCOM","11040","1.7","0","-4416","11040","2.1","0","0","11040","23184"
"NSE_CASH","INDIACEM","200","212.4","0","-1920","200","222","0","0","200","44400"
"NSE_CASH","CHMBBRW","-100","7.6","0","55","0","0","100","8.15","-100","-815"
"NSE_CASH","VIPCLOTHNG","-25","35.4","0","13.75","0","0","25","35.95","-25","-898.7500000000001"
"NSE_CASH","TCS","-17","3876.3","0","4652.9","0","0","17","4150","-17","-70550"
"NSE_CASH","CANBK","443","116.21","0","-53611.5499","443","237.2293","0","0","443","105092.5799"
"NSE_CASH","ENGINERSIN","2000","201.95","0","265205","2000","69.3475","0","0","2000","138695"
"NSE_CASH","SOUTH-RE","455","3.95","0","-909.4995","455","5.9489","0","0","455","2706.7495"
"NSE_CASH","JAYKAY","-49","117.4","0","1597.4","0","0","49","150","-49","-7350"
"NSE_CASH","EASTSILK","1000","1.8","0","-1500","1000","3.3","0","0","1000","3300"
"NSE_CASH","GOLDENTOBC","-25","37.55","0","272.5","0","0","25","48.45","-25","-1211.25"
