"Transaction Type","Company Code","ISIN","Scrip Symbol","Scrip Name","Buy Date","Buy Quantity","Buy Rate","Sell Date","Sell Quantity","Sell Rate","Profit & Loss Amount","Available Qty","Last Traded Price","Expense Details","Stock Exchange"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 06 2024","7","8515.285714","March, 06 2024","7","8416.714285","-690","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 21 2024","1","8591","March, 21 2024","1","8669","78","0","9148.15","0","Stock"
"SHORTTERM","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","February, 28 2024","1","8405","March, 01 2024","1","8055","-350","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 07 2024","10","8845.6","March, 07 2024","10","8814.695","-309.05","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 22 2024","7","8953","March, 22 2024","7","8884.857142","-477","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 04 2024","1","8100","March, 04 2024","1","8145","45","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE917I01010","BAJAJ-AUTO","BAJAJ AUTO LTD.","March, 05 2024","2","8296","March, 05 2024","2","8334","76","0","9148.15","0","Stock"
"TRADING","NSE_CASH","INE397D01024","BHARTIARTL","BHARTI AIRTEL LTD.","March, 19 2024","14","1233.771428","March, 19 2024","14","1233.128571","-9","0","1229.05","0","Stock"
"TRADING","NSE_CASH","INE397D01024","BHARTIARTL","BHARTI AIRTEL LTD.","March, 20 2024","10","1230.4","March, 20 2024","10","1235.5","51","0","1229.05","0","Stock"
"TRADING","NSE_CASH","INE397D01024","BHARTIARTL","BHARTI AIRTEL LTD.","March, 21 2024","3","1231.666666","March, 21 2024","3","1238.666666","21","0","1229.05","0","Stock"
