Segment,Symbol,Net Qty,Prev. Close (₹),Realized Profit/Loss  (₹),Unrealized Profit/Loss  (₹),Buy Qty,Buy Rate (₹),Sell Qty,Sell Rate (₹),Open Qty,Open Rate (₹)
NSE_CASH,ADANIENT,0,0,45,0,6,3280,6,3287.5,0,0
NSE_CASH,ADANIPORTS,0,0,21.75,0,2,1407,2,1417.875,0,0
NSE_CASH,ASIANPAINT,0,0,8,0,1,2901,1,2909,0,0
NSE_CASH,AXISBANK,0,0,10.1,0,1,1271,1,1281.1,0,0
NSE_CASH,BAJAJFINSV,0,0,20,0,1,1525,1,1545,0,0
NSE_CASH,BANKBARODA,0,0,9869.51,0,917,257.9053,917,268.6682,0,0
NSE_CASH,BANKBARODA,315,228.53,0,29239.1505,315,135.7073,0,0,315,42747.7995
NSE_CASH,BHEL,0,0,2603.45,0,809,263.5869,809,266.805,0,0
NSE_CASH,BHEL,3230,216.43,0,502515.648,3230,60.8524,0,0,3230,196553.252
NSE_CASH,BRITANNIA,0,0,38.25,0,7,5165.8214,7,5171.2857,0,0
NSE_CASH,CANBK,0,0,-142.46,0,889,137.7653,889,137.6051,0,0
NSE_CASH,CANBK,483,89,0,-66825.5616,483,227.3552,0,0,483,109812.5616
NSE_CASH,DIVISLAB,0,0,-33.8,0,2,4342.4,2,4325.5,0,0
NSE_CASH,DRREDDY,0,0,43.05,0,5,5891.59,5,5900.2,0,0
NSE_CASH,DWARKESH,0,0,-1514.8,0,1935,71.8711,1935,71.0882,0,0
BSE_CASH,DWARKESH,0,0,347.725,0,14,80.1625,14,105,0,0
NSE_CASH,DWARKESH,311,36.81,0,-11562.3269,311,73.9879,0,0,311,23010.2369
NSE_CASH,ENGINERSIN,0,0,19308.8125,0,3474,239.1699,3474,244.728,0,0
NSE_CASH,ENGINERSIN,1940,160.58,0,172742.062,1940,71.5377,0,0,1940,138783.138
NSE_CASH,FORCEMOT,0,0,1932.1,0,118,8958.6055,118,8974.9792,0,0
NSE_CASH,GARFIBRES,0,0,1996.4498,0,43,3821.4884,43,3867.9174,0,0
NSE_CASH,HCC,0,0,173.45,0,354,35.1045,354,35.5945,0,0
NSE_CASH,HCC,108,25.85,0,-1058.346,108,35.6495,0,0,108,3850.146
NSE_CASH,HCC-RE,0,0,3.466,0,4,9.3335,4,10.2,0,0
NSE_CASH,HCC-RE,99,12.1,0,273.8835,99,9.3335,0,0,99,924.0165
