"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_CASH","RELIANCE","0","0","58.7","0","31","1397.2355","31","1399.129","0","0"
"NSE_CASH","RELIANCE","59","1384.9","0","-260.898","59","1389.322","0","0","59","81969.99799999999"
"NSE_CASH","BHEL","0","0","10.3","0","24","233.3333","24","233.7625","0","0"
"NSE_CASH","BHEL","3252","211.5","0","485954.8152","3252","62.0674","0","0","3252","201843.1848"
"NSE_CASH","FORCEMOT","0","0","4570","0","3","17810","3","19333.3333","0","0"
"NSE_CASH","FORCEMOT","-5","19952","0","-310","0","0","5","19890","-5","-99450"
"NSE_CASH","JIOFIN","0","0","-52","0","48","312.8333","48","311.75","0","0"
"NSE_CASH","JIOFIN","2174","315.75","0","375339.5782","2174","143.1007","0","0","2174","311100.92179999995"
"NSE_CASH","JAYNECOIND","0","0","2.8","0","14","49.05","14","49.25","0","0"
"NSE_CASH","JAYNECOIND","8","58.82","0","55.46","8","51.8875","0","0","8","415.1"
"NSE_CASH","BANKBARODA","315","235.14","0","31263.5925","315","135.8905","0","0","315","42805.5075"
"NSE_CASH","TATASTEEL","560","155.03","0","7389.312","560","141.8348","0","0","560","79427.488"
"NSE_CASH","IDFCFIRSTB","470","68.76","0","11026.388","470","45.2996","0","0","470","21290.811999999998"
"NSE_CASH","NBCC","2280","100.89","0","167709.276","2280","27.3333","0","0","2280","62319.924000000006"
"NSE_CASH","NURECA","100","237.51","0","-77748.4","100","1014.994","0","0","100","101499.40000000001"
"NSE_CASH","SAIL","1500","119.94","0","46309.35","1500","89.0671","0","0","1500","133600.65"
"NSE_CASH","MMTC","1200","62.21","0","21177","1200","44.5625","0","0","1200","53475"
"NSE_CASH","PNB","2776","102.77","0","120440.0912","2776","59.3838","0","0","2776","164849.4288"
"NSE_CASH","KOTAKBANK","50","1965.7","0","9735","50","1771","0","0","50","88550"
"NSE_CASH","RCOM","11040","1.63","0","-5188.8","11040","2.1","0","0","11040","23184"
"NSE_CASH","DWARKESH","311","39.55","0","-10713.3902","311","73.9982","0","0","311","23013.440199999997"
"NSE_CASH","INDIACEM","200","383.15","0","32230","200","222","0","0","200","44400"
"NSE_CASH","CANBK","2255","106.01","0","129239.913","2255","48.6974","0","0","2255","109812.637"
"NSE_CASH","ENGINERSIN","1940","195.68","0","240865.938","1940","71.5223","0","0","1940","138753.26200000002"
"NSE_CASH","YESBANK","2202","18.95","0","-9280.1088","2202","23.1644","0","0","2202","51008.0088"
"NSE_CASH","HCC","108","25.85","0","-1058.346","108","35.6495","0","0","108","3850.146"
"NSE_CASH","HCC-RE","99","12.1","0","273.4875","99","9.3375","0","0","99","924.4125"
"NSE_CASH","SOUTHBANK","125","29.43","0","232.1","125","27.5732","0","0","125","3446.65"
"NSE_CASH","SOUTH-RE","455","3.95","0","-909.4995","455","5.9489","0","0","455","2706.7495"
"NSE_CASH","INE962C01027","1000","3.3","0","0","1000","3.3","0","0","1000","3300"
