

FYERS


Client Name,MAHENDRA CHHOTALAL SHAH
Client ID,XM20352
PAN,AWBPS3883J
Financial Year,2025-2026
BO ID,1208940003112045
Date Range,April 2025 to March 2026


Realised P&L Summary,5449.23
Net LTCG P&L,-1508.00
Net STCG P&L,1430.34
Taxable Intraday P&L,5526.89
Taxable Future P&L,0.00
Taxable Options P&L,0.00
Turnover Equity (ICAI),13677.89
Turnover FnO (ICAI),0.00
Total Charges,1326.33


Expenses Summary,1326.33
Transaction Charges ,57.65
SEBI Charges,1.92
STT,428.00
CTT,0.00
Stamp Duty,42.00
Brokerage,665.08
GST,130.62
IPFT,1.06



Equity - Long Term
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover
RELIANCE  ,-1508.00,Long-term,Equity,1.00,19 Jun  2024,2920.00,2920.00,04 Aug  2025,1412.00,1412.00,411,INE002A01018,-

Equity - Short Term
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover
RELIANCE  ,1412.00,Short-term,Equity,1.00,28 Oct  2024,0.00,0.00,04 Aug  2025,1412.00,1412.00,280,INE002A01018,-
RELIANCE  ,46.34,Short-term,Equity,2.00,25 Jul  2025,1388.83,2777.66,04 Aug  2025,1412.00,2824.00,10,INE002A01018,-
HILTON,-28.00,Short-term,Equity,5.00,23 Feb  2026,21.49,107.45,20 Mar  2026,15.89,79.45,25,INE788H01017,-

Equity - Intraday
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover
FORCEMOT,4570.00,Trading,Equity,3.00,25 Jul  2025,17810.00,53430.00,25 Jul  2025,19333.33,57999.99,0,INE451A01017,4570.00
RELIANCE  ,6.20,Trading,Equity,12.00,25 Jul  2025,1394.48,16733.76,25 Jul  2025,1395.00,16740.00,0,INE002A01018,6.20
JIOFIN,-52.00,Trading,Equity,48.00,25 Jul  2025,312.83,15015.84,25 Jul  2025,311.75,14964.00,0,INE758E01017,52.00
RELIANCE  ,100.50,Trading,Equity,15.00,28 Jul  2025,1392.30,20884.50,28 Jul  2025,1399.00,20985.00,0,INE002A01018,100.50
BHEL,22.80,Trading,Equity,4.00,29 Jul  2025,235.00,940.00,29 Jul  2025,240.70,962.80,0,INE257A01026,22.80
JAYNECOIND,2.80,Trading,Equity,14.00,04 Aug  2025,49.05,686.70,04 Aug  2025,49.25,689.50,0,INE854B01010,2.80
BHEL,-7.50,Trading,Equity,10.00,06 Aug  2025,241.00,2410.00,06 Aug  2025,240.25,2402.50,0,INE257A01026,7.50
BHEL,-5.00,Trading,Equity,10.00,07 Aug  2025,225.00,2250.00,07 Aug  2025,224.50,2245.00,0,INE257A01026,5.00
FORCEMOT,-750.00,Trading,Equity,1.00,17 Feb  2026,25600.00,25600.00,17 Feb  2026,24850.00,24850.00,0,INE451A01017,750.00
FORCEMOT,550.00,Trading,Equity,1.00,18 Feb  2026,25250.00,25250.00,18 Feb  2026,25800.00,25800.00,0,INE451A01017,550.00
FORCEMOT,1380.00,Trading,Equity,2.00,19 Feb  2026,24455.00,48910.00,19 Feb  2026,25145.00,50290.00,0,INE451A01017,1380.00
FORCEMOT,-260.00,Trading,Equity,2.00,20 Feb  2026,23952.50,47905.00,20 Feb  2026,23822.50,47645.00,0,INE451A01017,260.00
KOTAKBANK,98.75,Trading,Equity,146.00,23 Feb  2026,429.87,62761.02,23 Feb  2026,430.55,62860.30,0,INE237A01036,98.75
FORCEMOT,-525.00,Trading,Equity,1.00,24 Feb  2026,24975.00,24975.00,24 Feb  2026,24450.00,24450.00,0,INE451A01017,525.00
KOTAKBANK,57.00,Trading,Equity,20.00,24 Feb  2026,428.05,8561.00,24 Feb  2026,430.90,8618.00,0,INE237A01036,57.00
RELIANCE  ,-210.20,Trading,Equity,10.00,25 Feb  2026,1415.02,14150.20,25 Feb  2026,1394.00,13940.00,0,INE002A01018,210.20
BANKBARODA,81.25,Trading,Equity,50.00,25 Feb  2026,312.75,15637.50,25 Feb  2026,314.38,15719.00,0,INE028A01039,81.25
FORCEMOT,-80.00,Trading,Equity,1.00,26 Feb  2026,25475.00,25475.00,26 Feb  2026,25395.00,25395.00,0,INE451A01017,80.00
FORCEMOT,-330.00,Trading,Equity,1.00,27 Feb  2026,24805.00,24805.00,27 Feb  2026,24475.00,24475.00,0,INE451A01017,330.00
IDFCFIRSTB,4.00,Trading,Equity,10.00,27 Feb  2026,72.25,722.50,27 Feb  2026,72.65,726.50,0,INE092T01019,4.00
FORCEMOT,1385.00,Trading,Equity,2.00,02 Mar  2026,23577.50,47155.00,02 Mar  2026,24270.00,48540.00,0,INE451A01017,1385.00
TATASTEEL,-27.00,Trading,Equity,10.00,04 Mar  2026,199.95,1999.50,04 Mar  2026,197.25,1972.50,0,INE081A01020,27.00
RELIANCE  ,-552.60,Trading,Equity,48.00,04 Mar  2026,1329.64,63822.72,04 Mar  2026,1318.13,63270.24,0,INE002A01018,552.60
SAIL,22.50,Trading,Equity,50.00,05 Mar  2026,157.82,7891.00,05 Mar  2026,158.28,7914.00,0,INE114A01011,22.50
TATASTEEL,102.25,Trading,Equity,50.00,05 Mar  2026,199.91,9995.50,05 Mar  2026,201.95,10097.50,0,INE081A01020,102.25
FORCEMOT,200.00,Trading,Equity,1.00,05 Mar  2026,21750.00,21750.00,05 Mar  2026,21950.00,21950.00,0,INE451A01017,200.00
FORCEMOT,150.00,Trading,Equity,1.00,06 Mar  2026,21155.00,21155.00,06 Mar  2026,21305.00,21305.00,0,INE451A01017,150.00
FORCEMOT,140.00,Trading,Equity,1.00,09 Mar  2026,20555.00,20555.00,09 Mar  2026,20695.00,20695.00,0,INE451A01017,140.00
TATASTEEL,-16.05,Trading,Equity,15.00,09 Mar  2026,192.42,2886.30,09 Mar  2026,191.35,2870.25,0,INE081A01020,16.05
SAIL,-10.40,Trading,Equity,10.00,09 Mar  2026,150.99,1509.90,09 Mar  2026,149.95,1499.50,0,INE114A01011,10.40
JIOFIN,20.00,Trading,Equity,50.00,09 Mar  2026,230.07,11503.50,09 Mar  2026,230.47,11523.50,0,INE758E01017,20.00
ENGINERSIN,-9.00,Trading,Equity,45.00,09 Mar  2026,195.26,8786.70,09 Mar  2026,195.06,8777.70,0,INE510A01028,9.00
ENGINERSIN,3.60,Trading,Equity,12.00,10 Mar  2026,198.65,2383.80,10 Mar  2026,198.95,2387.40,0,INE510A01028,3.60
TATASTEEL,17.40,Trading,Equity,16.00,10 Mar  2026,193.74,3099.84,10 Mar  2026,194.83,3117.28,0,INE081A01020,17.40
JIOFIN,34.10,Trading,Equity,25.00,10 Mar  2026,234.19,5854.75,10 Mar  2026,235.55,5888.75,0,INE758E01017,34.10
SAIL,-9.60,Trading,Equity,12.00,10 Mar  2026,151.05,1812.60,10 Mar  2026,150.25,1803.00,0,INE114A01011,9.60
BHEL,14.80,Trading,Equity,25.00,10 Mar  2026,257.36,6434.00,10 Mar  2026,257.95,6448.75,0,INE257A01026,14.80
HEG,10.80,Trading,Equity,12.00,10 Mar  2026,518.05,6216.60,10 Mar  2026,518.95,6227.40,0,INE545A01024,10.80
JIOFIN,22.50,Trading,Equity,25.00,11 Mar  2026,240.05,6001.25,11 Mar  2026,240.95,6023.75,0,INE758E01017,22.50
ENGINERSIN,76.50,Trading,Equity,30.00,11 Mar  2026,202.97,6089.10,11 Mar  2026,205.52,6165.60,0,INE510A01028,76.50
HEG,175.00,Trading,Equity,50.00,11 Mar  2026,526.55,26327.50,11 Mar  2026,530.05,26502.50,0,INE545A01024,175.00
SAIL,13.25,Trading,Equity,105.00,11 Mar  2026,153.50,16117.50,11 Mar  2026,153.63,16131.15,0,INE114A01011,13.25
KOTAKBANK,35.55,Trading,Equity,34.00,11 Mar  2026,387.43,13172.62,11 Mar  2026,388.47,13207.98,0,INE237A01036,35.55
PNB,4.60,Trading,Equity,4.00,12 Mar  2026,114.50,458.00,12 Mar  2026,115.65,462.60,0,INE160A01022,4.60
IDFCFIRSTB,1.40,Trading,Equity,4.00,12 Mar  2026,65.00,260.00,12 Mar  2026,65.35,261.40,0,INE092T01019,1.40
HEG,7.20,Trading,Equity,12.00,12 Mar  2026,515.12,6181.44,12 Mar  2026,515.72,6188.64,0,INE545A01024,7.20
KOTAKBANK,8.30,Trading,Equity,9.00,12 Mar  2026,377.58,3398.22,12 Mar  2026,378.51,3406.59,0,INE237A01036,8.30
NBCC,5.04,Trading,Equity,4.00,12 Mar  2026,85.29,341.16,12 Mar  2026,86.55,346.20,0,INE095N01031,5.04
BHEL,-276.90,Trading,Equity,99.00,12 Mar  2026,267.45,26477.55,12 Mar  2026,264.65,26200.35,0,INE257A01026,276.90
TATASTEEL,2.20,Trading,Equity,4.00,12 Mar  2026,192.80,771.20,12 Mar  2026,193.35,773.40,0,INE081A01020,2.20
