Symbol,Symbol Name,Unsettled Buy Qty,Unsettled Sell Qty,Total Quantity,Free Quantity,Pledge Quantity,Buy Price (₹),Buy Value (₹),Prev Close (₹),Current Value (₹),Profit/Loss (₹),Unrealized P&L %,ISIN,Present Value Percent,Invested Value Percent
RELIANCE,Reliance Industries Limited,0,0,1687,1687,0,0,0,2385.85,4024928.95,4024928.95,0,INE002A01018,85.22,0
TCS,Tata Consultancy Services Limited,0,0,34,34,0,3767.65,128100.1,2983.5,101439,-26661.1,-20.81,INE467B01029,2.15,17.13
GAIL,GAIL (India) Limited,0,0,1147,1147,0,103.74,118989.78,84.25,96634.75,-22355.03,-18.79,INE129A01019,2.05,15.91
BHEL,Bharat Heavy Electricals Limited,0,0,1600,1600,0,55.94,89504,55.5,88800,-704,-0.79,INE257A01026,1.88,11.97
ICICIBANK,ICICI Bank Limited,0,0,100,100,0,762.78,76278,867.6,86760,10482,13.74,INE090A01021,1.84,10.2
BHARTIARTL,Bharti Airtel Limited,0,0,102,102,0,723.84,73831.68,763.8,77907.6,4075.92,5.52,INE397D01024,1.65,9.87
EMBASSY-RR,Embassy Office Parks REIT,0,0,200,200,0,388,77600,351.8,70360,-7240,-9.33,INE041025011,1.49,10.38
BANKBARODA,Bank of Baroda,0,0,500,500,0,107.4,53700,128,64000,10300,19.18,INE028A01039,1.36,7.18
IRB,IRB Infrastructure Developers Limited,0,0,300,300,0,271.15,81345,204.9,61470,-19875,-24.43,INE821I01014,1.3,10.88
CANBK,Canara Bank,0,0,200,200,0,242.5,48500,219,43800,-4700,-9.69,INE476A01014,0.93,6.49
523790-EQ,SHUKRA JEWELLERS LTD.,0,0,1000,1000,0,0,0,6.75,6750,6750,0,INE344E01016,0.14,0
AIRTELPP-E1,Bharti Airtel  Ltd.,0,0,1,1,0,0,0,367.9,367.9,367.9,0,IN9397D01014,0.01,0
506822,AIPCL,0,0,9000,9000,0,0,0,0,0,0,0,INE739N01026,0,0
509732,KOTHARI INDUSTRIAL CORPORATION,0,0,130,130,0,0,0,0,0,0,0,INE972A01020,0,0
524426,SILCAL METALLURGICAL LTD.,0,0,1500,1500,0,0,0,0,0,0,0,INE545D01010,0,0
500406,SURYA AGROIL,0,0,5436,5436,0,0,0,0,0,0,0,INE780B01017,0,0
