"Transaction Type","Company Code","ISIN","Scrip Symbol","Scrip Name","Buy Date","Buy Quantity","Buy Rate","Sell Date","Sell Quantity","Sell Rate","Profit & Loss Amount","Available Qty","Last Traded Price","Expense Details","Stock Exchange"
"TRADING","NSE_CASH","INE028A01039","BANKBARODA","BANK OF BARODA","August, 08 2022","200","118.55","August, 08 2022","200","119","90","0","121.65","0","Stock"
"TRADING","NSE_CASH","INE028A01039","BANKBARODA","BANK OF BARODA","August, 11 2022","201","123.054228","August, 11 2022","201","123.349004","59.25","0","121.65","0","Stock"
"TRADING","NSE_CASH","INE028A01039","BANKBARODA","BANK OF BARODA","August, 16 2022","175","122.892857","August, 16 2022","175","124.321428","250","0","121.65","0","Stock"
"SHORTTERM","NSE_CASH","INE028A01039","BANKBARODA","Bank of Baroda","April, 08 2022","25","118.3","August, 11 2022","25","123.45","128.75","0","121.65","0","Stock"
"SHORTTERM","NSE_CASH","INE028A01039","BANKBARODA","BANK OF BARODA","April, 08 2022","50","118.3","August, 12 2022","50","123.55","262.5","0","121.65","0","Stock"
"TRADING","NSE_CASH","INE257A01026","BHEL","BHARAT HEAVY ELECTRICALS LTD.","August, 11 2022","100","52.7","August, 11 2022","100","52.95","25","0","53.9","0","Stock"
"SHORTTERM","NSE_CASH","INE257A01026","BHEL","BHARAT HEAVY ELECTRICALS LTD.","April, 08 2022","300","56.7","August, 10 2022","300","52.3","-1320","0","53.9","0","Stock"
"SHORTTERM","NSE_CASH","INE257A01026","BHEL","BHARAT HEAVY ELECTRICALS LTD.","April, 08 2022","100","56.7","August, 12 2022","100","53.2","-350","0","53.9","0","Stock"
"SHORTTERM","NSE_CASH","INE257A01026","BHEL","BHARAT HEAVY ELECTRICALS LTD.","April, 08 2022","100","56.7","August, 16 2022","100","53.45","-325","0","53.9","0","Stock"
"TRADING","NSE_CASH","INE257A01026","BHEL","BHARAT HEAVY ELECTRICALS LTD.","August, 08 2022","100","51.65","August, 08 2022","100","52","35","0","53.9","0","Stock"
"TRADING","NSE_CASH","INE476A01014","CANBK","CANARA BANK","August, 12 2022","100","231.05","August, 12 2022","100","233.65","260","0","232.15","0","Stock"
"TRADING","NSE_CASH","INE476A01014","CANBK","CANARA BANK","August, 10 2022","50","225.45","August, 10 2022","50","225.95","25","0","232.15","0","Stock"
"TRADING","NSE_CASH","INE476A01014","CANBK","Canara Bank","August, 11 2022","150","231.883333","August, 11 2022","150","233.066666","177.5","0","232.15","0","Stock"
"SHORTTERM","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","April, 08 2022","200","69.7","August, 03 2022","200","69.35","-70","0","68.2","0","Stock"
"SHORTTERM","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","April, 08 2022","100","69.7","August, 11 2022","100","67.4","-230","0","68.2","0","Stock"
"TRADING","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","August, 05 2022","800","69.0375","August, 05 2022","800","69.475","350","0","68.2","0","Stock"
"TRADING","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","August, 08 2022","100","67.05","August, 08 2022","100","67","-5","0","68.2","0","Stock"
"TRADING","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","August, 10 2022","200","67.1","August, 10 2022","200","67.575","95","0","68.2","0","Stock"
"TRADING","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","August, 11 2022","100","67.25","August, 11 2022","100","67.55","30","0","68.2","0","Stock"
"TRADING","NSE_CASH","INE510A01028","ENGINERSIN","ENGINEERS INDIA LTD.","August, 16 2022","100","68.15","August, 16 2022","100","68.45","30","0","68.2","0","Stock"
"SHORTTERM","NSE_CASH","INE090A01021","ICICIBANK","ICICI BANK LTD.","April, 08 2022","100","747.05","August, 03 2022","100","822.85","7580","0","879.65","0","Stock"
"SHORTTERM","NSE_CASH","INE090A01021","ICICIBANK","ICICI BANK LTD.","August, 04 2022","20","820.05","August, 12 2022","20","865.45","908","0","879.65","0","Stock"
